Layer 2
X	Y	Z	Top	Bot	Thick.	
649496.469	3878959.88	222.75	239.899994	205.600006	34.2999878	
649800.5	3878959.88	221.089996	239.089996	203.089996	36	
650104.531	3878959.88	220.850006	241.350006	200.350006	41	
650408.594	3878959.88	220.570007	244.070007	197.070007	47	
650712.625	3878959.88	220.960007	248.960007	192.960007	56	
651016.656	3878959.88	194.25	219.25	169.25	50	
651320.719	3878959.88	163.25	188.25	138.25	50	
651624.75	3878959.88	190.490005	215.490005	165.490005	50	
651928.875	3878959.88	127.589996	152.589996	102.589996	50	
646152.031	3878581.25	243.160004	268.160004	218.160004	50	
646456.063	3878581.25	270.410004	295.410004	245.410004	50	
646760.094	3878581.25	272.440002	297.440002	247.440002	50	
647064.156	3878581.25	270.070007	295.070007	245.070007	50	
647368.188	3878581.25	264.709999	289.709991	239.710007	49.9999847	
647672.219	3878581.25	256.320007	281.320007	231.320007	50	
647976.25	3878581.25	251.980003	276.980011	226.979996	50.0000153	
648280.281	3878581.25	244.209999	269.209991	219.210007	49.9999847	
648584.344	3878581.25	238.279999	263.279999	213.279999	50	
648888.375	3878581.25	236.410004	261.410004	211.410004	50	
649192.406	3878581.25	236.970001	261.970001	211.970001	50	
649496.469	3878581.25	236.029999	261.029999	211.029999	50	
649800.5	3878581.25	226.720001	245.720001	207.720001	38	
650104.531	3878581.25	225.270004	245.770004	204.770004	41	
650408.594	3878581.25	224.100006	246.100006	202.100006	44	
650712.625	3878581.25	224.529999	249.529999	199.529999	50	
651016.656	3878581.25	221.779999	246.779999	196.779999	50	
651320.719	3878581.25	171.449997	196.449997	146.449997	50	
651624.75	3878581.25	168.979996	193.979996	143.979996	50	
651928.875	3878581.25	151.190002	176.190002	126.190002	50	
646152.031	3878202.75	251.899994	276.899994	226.899994	50	
646456.063	3878202.75	261.450005	286.450012	236.449997	50.0000153	
646760.094	3878202.75	265.109993	290.109985	240.110001	49.9999847	
647064.156	3878202.75	261.600006	286.600006	236.600006	50	
647368.188	3878202.75	265.109993	290.109985	240.110001	49.9999847	
647672.219	3878202.75	257.690002	282.690002	232.690002	50	
647976.25	3878202.75	246.899994	271.899994	221.899994	50	
648280.281	3878202.75	243.559998	268.559998	218.559998	50	
648584.344	3878202.75	247.480003	272.480011	222.479996	50.0000153	
648888.375	3878202.75	244.760002	269.76001	219.759995	50.0000153	
649192.406	3878202.75	245.230003	270.230011	220.229996	50.0000153	
649496.469	3878202.75	240.899994	265.899994	215.899994	50	
649800.5	3878202.75	230.649994	249.649994	211.649994	38	
650104.531	3878202.75	228.240005	248.240005	208.240005	40	
650408.594	3878202.75	227.830002	249.830002	205.830002	44	
650712.625	3878202.75	228.850006	253.350006	204.350006	49	
651016.656	3878202.75	212.669998	237.669998	187.669998	50	
651320.719	3878202.75	179.679993	204.679993	154.679993	50	
651624.75	3878202.75	163.509995	188.509995	138.509995	50	
