Layer 2
X	Y	Z	Kx	Ky	Kz	
647976.25	3877445.75	262.920006	1E-11	1E-11	1E-11	
648280.281	3877445.75	259.519997	1E-11	1E-11	1E-11	
648584.344	3877445.75	255.660004	1E-11	1E-11	1E-11	
648888.375	3877445.75	250.420006	1E-11	1E-11	1E-11	
649192.406	3877445.75	248.820007	1E-11	1E-11	1E-11	
649496.469	3877445.75	248.399994	1E-11	1E-11	1E-11	
649800.5	3877445.75	238.190002	1E-11	1E-11	1E-11	
650104.531	3877445.75	235.510002	1E-11	1E-11	1E-11	
650408.594	3877445.75	234.380005	1E-11	1E-11	1E-11	
650712.625	3877445.75	233.209999	1E-11	1E-11	1E-11	
651016.656	3877445.75	230.489998	1E-11	1E-11	1E-11	
651320.719	3877445.75	212.539993	1E-11	1E-11	1E-11	
651624.75	3877445.75	182.229996	1E-11	1E-11	1E-11	
651928.875	3877445.75	175.070007	1E-11	1E-11	1E-11	
646152.031	3877067.13	244.890007	1E-11	1E-11	1E-11	
646456.063	3877067.13	252.019997	1E-11	1E-11	1E-11	
646760.094	3877067.13	259.450005	1E-11	1E-11	1E-11	
647064.156	3877067.13	266.559998	1E-11	1E-11	1E-11	
647368.188	3877067.13	271.869995	1E-11	1E-11	1E-11	
647672.219	3877067.13	271.399994	1E-11	1E-11	1E-11	
647976.25	3877067.13	268.160004	1E-11	1E-11	1E-11	
648280.281	3877067.13	262.959999	1E-11	1E-11	1E-11	
648584.344	3877067.13	259.820007	1E-11	1E-11	1E-11	
648888.375	3877067.13	254.470001	1E-11	1E-11	1E-11	
649192.406	3877067.13	254.100006	1E-11	1E-11	1E-11	
649496.469	3877067.13	251.25	1E-11	1E-11	1E-11	
649800.5	3877067.13	240.739998	1E-11	1E-11	1E-11	
650104.531	3877067.13	237.470001	1E-11	1E-11	1E-11	
650408.594	3877067.13	235.640007	1E-11	1E-11	1E-11	
650712.625	3877067.13	237.079994	1E-11	1E-11	1E-11	
651016.656	3877067.13	240.309998	1E-11	1E-11	1E-11	
651320.719	3877067.13	240.839996	1E-11	1E-11	1E-11	
651624.75	3877067.13	205.860001	1E-11	1E-11	1E-11	
651928.875	3877067.13	192.460007	1E-11	1E-11	1E-11	
646152.031	3876688.5	241.600006	1E-11	1E-11	1E-11	
646456.063	3876688.5	247.589996	1E-11	1E-11	1E-11	
646760.094	3876688.5	255.450005	1E-11	1E-11	1E-11	
647064.156	3876688.5	260.489998	1E-11	1E-11	1E-11	
647368.188	3876688.5	270.779999	1E-11	1E-11	1E-11	
647672.219	3876688.5	269.489998	1E-11	1E-11	1E-11	
647976.25	3876688.5	264.100006	1E-11	1E-11	1E-11	
648280.281	3876688.5	263.609993	1E-11	1E-11	1E-11	
648584.344	3876688.5	259.309998	1E-11	1E-11	1E-11	
648888.375	3876688.5	259.390007	1E-11	1E-11	1E-11	
649192.406	3876688.5	261.890007	1E-11	1E-11	1E-11	
649496.469	3876688.5	253.690002	1E-11	1E-11	1E-11	
649800.5	3876688.5	243.589996	1E-11	1E-11	1E-11	
650104.531	3876688.5	239.890007	1E-11	1E-11	1E-11	
650408.594	3876688.5	237.420006	1E-11	1E-11	1E-11	
650712.625	3876688.5	238.549995	1E-11	1E-11	1E-11	
651016.656	3876688.5	242.970001	1E-11	1E-11	1E-11	
651320.719	3876688.5	239.760002	1E-11	1E-11	1E-11	
651624.75	3876688.5	215.990005	1E-11	1E-11	1E-11	
651928.875	3876688.5	201.529999	1E-11	1E-11	1E-11	
646152.031	3876310	234.839996	1E-11	1E-11	1E-11	
646456.063	3876310	243.880005	1E-11	1E-11	1E-11	
646760.094	3876310	248.290001	1E-11	1E-11	1E-11	
647064.156	3876310	253	1E-11	1E-11	1E-11	
647368.188	3876310	255.839996	1E-11	1E-11	1E-11	
647672.219	3876310	256.929993	1E-11	1E-11	1E-11	
647976.25	3876310	259.200005	1E-11	1E-11	1E-11	
648280.281	3876310	262.920006	1E-11	1E-11	1E-11	
648584.344	3876310	261.399994	1E-11	1E-11	1E-11	
648888.375	3876310	258.640007	1E-11	1E-11	1E-11	
649192.406	3876310	257.859993	1E-11	1E-11	1E-11	
649496.469	3876310	252.420006	1E-11	1E-11	1E-11	
649800.5	3876310	246.609993	1E-11	1E-11	1E-11	
650104.531	3876310	243.239998	1E-11	1E-11	1E-11	
650408.594	3876310	241.739998	1E-11	1E-11	1E-11	
650712.625	3876310	242.570007	1E-11	1E-11	1E-11	
651016.656	3876310	246.010002	1E-11	1E-11	1E-11	
651320.719	3876310	252.589996	1E-11	1E-11	1E-11	
651624.75	3876310	223.580002	1E-11	1E-11	1E-11	
651928.875	3876310	201.520004	1E-11	1E-11	1E-11	
646152.031	3875931.5	239.720001	1E-11	1E-11	1E-11	
